,treatment,position,freeze.time,recovery,sam.num,meanden,control.dens,exp.div.control,log.2.fold
1,E,H,2,2,4,0.399609934,0.57969051,0.689350484,-0.536690421
2,E,H,2,2,5,0.469513819,0.57969051,0.80993877,-0.304115248
3,E,H,2,2,8,0.089676018,0.57969051,0.154696371,-2.692488745
4,E,H,2,2,9,0.55618685,0.57969051,0.959454813,-0.059713233
5,E,H,2,2,10,0.470220441,0.57969051,0.811157735,-0.301945612
21,E,L,2,2,4,0.286831529,0.433352687,0.661889352,-0.595338032
22,E,L,2,2,5,0.363773449,0.433352687,0.839439698,-0.252501404
23,E,L,2,2,6,0.40678929,0.433352687,0.93870259,-0.091259955
24,E,L,2,2,7,0.725381503,0.433352687,1.673882554,0.743198306
25,E,L,2,2,8,0.751069354,0.433352687,1.733159565,0.793404483
11,E,H,8,2,2,0.424320848,0.466212053,0.910145599,-0.135830738
12,E,H,8,2,8,0.312446916,0.466212053,0.670181978,-0.577375204
13,E,H,8,2,9,0.625003809,0.466212053,1.340599852,0.42287868
14,E,H,8,2,11,0.265606198,0.466212053,0.569711135,-0.811697492
15,E,H,8,2,12,0.739507606,0.466212053,1.586204393,0.665578683
31,E,L,8,2,2,0.458350952,0.500224151,0.916291129,-0.126122043
32,E,L,8,2,3,0.421773526,0.500224151,0.843169058,-0.246106169
33,E,L,8,2,4,0.346984014,0.500224151,0.693657059,-0.527705517
34,E,L,8,2,10,0.610331471,0.500224151,1.220115962,0.28701827
35,E,L,8,2,11,0.310910504,0.500224151,0.62154237,-0.686075353
6,E,H,2,20,3,0.313712566,0.297985584,1.052777659,0.07420078
7,E,H,2,20,4,0.539760255,0.297985584,1.811363648,0.85707621
8,E,H,2,20,6,0.471831468,0.297985584,1.583403671,0.663029101
9,E,H,2,20,7,0.503560878,0.297985584,1.689883355,0.756923667
10,E,H,2,20,9,0.617204518,0.297985584,2.071256301,1.050506086
26,E,L,2,20,1,0.332354085,0.223916801,1.484274891,0.569758307
27,E,L,2,20,2,0.212156396,0.223916801,0.947478684,-0.077834608
28,E,L,2,20,4,0.777690614,0.223916801,3.473123098,1.796233545
29,E,L,2,20,5,0.330112392,0.223916801,1.474263613,0.559994515
30,E,L,2,20,6,0.727108966,0.223916801,3.247228269,1.699208804
16,E,H,8,20,1,0.386377401,0.394135911,0.98031514,-0.028682491
17,E,H,8,20,2,0.088331291,0.394135911,0.224113784,-2.15769671
18,E,H,8,20,7,0.869520252,0.394135911,2.206143181,1.141526426
19,E,H,8,20,11,0.261615094,0.394135911,0.663768733,-0.591247422
20,E,H,8,20,12,0.521535272,0.394135911,1.323237131,0.404071623
36,E,L,8,20,1,0.137840076,0.393960056,0.349883379,-1.515053962
37,E,L,8,20,2,0.228268812,0.393960056,0.579421209,-0.787315601
38,E,L,8,20,7,0.537228505,0.393960056,1.363662373,0.447486494
39,E,L,8,20,11,0.397922316,0.393960056,1.010057517,0.014437449
40,E,L,8,20,12,0.709141214,0.393960056,1.800033285,0.848023584